threshold,precision,recall,f1
0.0,0.23533333333333334,1.0,0.38100377765785215
0.01,0.23533333333333334,1.0,0.38100377765785215
0.02,0.23533333333333334,1.0,0.38100377765785215
0.03,0.23533333333333334,1.0,0.38100377765785215
0.04,0.23533333333333334,1.0,0.38100377765785215
0.05,0.2349799732977303,0.9971671388101983,0.3803349540788763
0.06,0.2349799732977303,0.9971671388101983,0.3803349540788763
0.07,0.23462566844919786,0.9943342776203966,0.3796646836127637
0.08,0.23509711989283322,0.9943342776203966,0.38028169014084506
0.09,0.2347417840375587,0.9915014164305949,0.3796095444685466
0.1,0.2347007397444519,0.9886685552407932,0.3793478260869565
0.11,0.23533378287255563,0.9886685552407932,0.3801742919389978
0.12,0.23537414965986395,0.9801699716713881,0.37959407569939657
0.13,0.23695054945054944,0.9773371104815864,0.3814262023217247
0.14,0.23822714681440443,0.9745042492917847,0.3828603227601558
0.15,0.2388268156424581,0.9688385269121813,0.3831932773109244
0.16,0.2397743300423131,0.9631728045325779,0.3839638622247318
0.17,0.23931623931623933,0.9518413597733711,0.38247011952191234
0.18,0.23884892086330936,0.9405099150141643,0.38095238095238093
0.19,0.23799126637554585,0.9263456090651558,0.37869137232194555
0.2,0.23763837638376384,0.9121813031161473,0.3770491803278688
0.21,0.23717472118959107,0.9036827195467422,0.375736160188457
0.22,0.23834586466165414,0.8980169971671388,0.37670825906120026
0.23,0.23718439173680184,0.8781869688385269,0.37349397590361444
0.24,0.23684210526315788,0.8668555240793201,0.3720364741641337
0.25,0.23868954758190328,0.8668555240793201,0.3743119266055046
0.26,0.2377952755905512,0.8555240793201133,0.3721503388786198
0.27,0.23767885532591415,0.8470254957507082,0.3711980136561142
0.28,0.23836276083467095,0.8413597733711048,0.3714821763602251
0.29,0.23890234059725585,0.8385269121813032,0.37185929648241206
0.3,0.23778501628664495,0.8271954674220963,0.3693864642631246
0.31,0.2372322899505766,0.8158640226628895,0.3675813656668794
0.32,0.23758278145695363,0.8130311614730878,0.36771300448430494
0.33,0.2382943143812709,0.8073654390934845,0.36797934151065204
0.34,0.23962743437764605,0.8016997167138811,0.36897001303780963
0.35000000000000003,0.23890784982935154,0.7932011331444759,0.36721311475409835
0.36,0.24013722126929674,0.7932011331444759,0.3686635944700461
0.37,0.24096385542168675,0.7932011331444759,0.3696369636963696
0.38,0.24179620034542315,0.7932011331444759,0.37061548643282594
0.39,0.24242424242424243,0.7932011331444759,0.3713527851458886
0.4,0.24305555555555555,0.7932011331444759,0.37209302325581395
0.41000000000000003,0.24347826086956523,0.7932011331444759,0.37258815701929476
0.42,0.24390243902439024,0.7932011331444759,0.37308461025982675
0.43,0.2443280977312391,0.7932011331444759,0.3735823882588392
0.44,0.2440944881889764,0.7903682719546742,0.3729946524064171
0.45,0.2451669595782074,0.7903682719546742,0.37424547283702214
0.46,0.24559859154929578,0.7903682719546742,0.3747481531229013
0.47000000000000003,0.24536628420123566,0.7875354107648725,0.37415881561238223
0.48,0.24536628420123566,0.7875354107648725,0.37415881561238223
0.49,0.2458001768346596,0.7875354107648725,0.3746630727762803
0.5,0.42857142857142855,0.0084985835694051,0.016666666666666666
0.51,0.42857142857142855,0.0084985835694051,0.016666666666666666
0.52,0.3333333333333333,0.0056657223796034,0.011142061281337047
0.53,0.3333333333333333,0.0056657223796034,0.011142061281337047
0.54,0.3333333333333333,0.0056657223796034,0.011142061281337047
0.55,0.5,0.0056657223796034,0.011204481792717087
0.56,0.6666666666666666,0.0056657223796034,0.011235955056179775
0.5700000000000001,0.0,0.0,0.0
0.58,0.0,0.0,0.0
0.59,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.61,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.63,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.67,0.0,0.0,0.0
0.68,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.71,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
